time,pitch,roll,yaw,trans_ap,trans_ml,trans_ud,scale
0.001,0,0.062831,0,0,0,0,1
0.002,0,0.12566,0,0,0,0,1
0.003,0,0.18848,0,0,0,0,1
0.004,0,0.2513,0,0,0,0,1
0.005,0,0.31411,0,0,0,0,1
0.006,0,0.3769,0,0,0,0,1
0.007,0,0.43968,0,0,0,0,1
0.008,0,0.50244,0,0,0,0,1
0.009,0,0.56519,0,0,0,0,1
0.01,0,0.62791,0,0,0,0,1
0.011,0,0.6906,0,0,0,0,1
0.012,0,0.75327,0,0,0,0,1
0.013,0,0.81591,0,0,0,0,1
0.014,0,0.87851,0,0,0,0,1
0.015,0,0.94108,0,0,0,0,1
0.016,0,1.0036,0,0,0,0,1
0.017,0,1.0661,0,0,0,0,1
0.018,0,1.1286,0,0,0,0,1
0.019,0,1.191,0,0,0,0,1
0.02,0,1.2533,0,0,0,0,1
0.021,0,1.3156,0,0,0,0,1
0.022,0,1.3779,0,0,0,0,1
0.023,0,1.4401,0,0,0,0,1
0.024,0,1.5023,0,0,0,0,1
0.025,0,1.5643,0,0,0,0,1
0.026,0,1.6264,0,0,0,0,1
0.027,0,1.6883,0,0,0,0,1
0.028,0,1.7502,0,0,0,0,1
0.029,0,1.8121,0,0,0,0,1
0.03,0,1.8738,0,0,0,0,1
0.031,0,1.9355,0,0,0,0,1
0.032,0,1.9971,0,0,0,0,1
0.033,0,2.0586,0,0,0,0,1
0.034,0,2.1201,0,0,0,0,1
0.035,0,2.1814,0,0,0,0,1
0.036,0,2.2427,0,0,0,0,1
0.037,0,2.3039,0,0,0,0,1
0.038,0,2.365,0,0,0,0,1
0.039,0,2.426,0,0,0,0,1
0.04,0,2.4869,0,0,0,0,1
0.041,0,2.5477,0,0,0,0,1
0.042,0,2.6084,0,0,0,0,1
0.043,0,2.669,0,0,0,0,1
0.044,0,2.7295,0,0,0,0,1
0.045,0,2.7899,0,0,0,0,1
0.046,0,2.8502,0,0,0,0,1
0.047,0,2.9104,0,0,0,0,1
0.048,0,2.9704,0,0,0,0,1
0.049,0,3.0304,0,0,0,0,1
0.05,0,3.0902,0,0,0,0,1
0.051,0,3.1499,0,0,0,0,1
0.052,0,3.2094,0,0,0,0,1
0.053,0,3.2689,0,0,0,0,1
0.054,0,3.3282,0,0,0,0,1
0.055,0,3.3874,0,0,0,0,1
0.056,0,3.4464,0,0,0,0,1
0.057,0,3.5053,0,0,0,0,1
0.058,0,3.5641,0,0,0,0,1
0.059,0,3.6228,0,0,0,0,1
0.06,0,3.6812,0,0,0,0,1
0.061,0,3.7396,0,0,0,0,1
0.062,0,3.7978,0,0,0,0,1
0.063,0,3.8558,0,0,0,0,1
0.064,0,3.9137,0,0,0,0,1
0.065,0,3.9715,0,0,0,0,1
0.066,0,4.0291,0,0,0,0,1
0.067,0,4.0865,0,0,0,0,1
0.068,0,4.1438,0,0,0,0,1
0.069,0,4.2009,0,0,0,0,1
0.07,0,4.2578,0,0,0,0,1
0.071,0,4.3146,0,0,0,0,1
0.072,0,4.3712,0,0,0,0,1
0.073,0,4.4276,0,0,0,0,1
0.074,0,4.4838,0,0,0,0,1
0.075,0,4.5399,0,0,0,0,1
0.076,0,4.5958,0,0,0,0,1
0.077,0,4.6515,0,0,0,0,1
0.078,0,4.707,0,0,0,0,1
0.079,0,4.7624,0,0,0,0,1
0.08,0,4.8175,0,0,0,0,1
0.081,0,4.8725,0,0,0,0,1
0.082,0,4.9273,0,0,0,0,1
0.083,0,4.9819,0,0,0,0,1
0.084,0,5.0362,0,0,0,0,1
0.085,0,5.0904,0,0,0,0,1
0.086,0,5.1444,0,0,0,0,1
0.087,0,5.1982,0,0,0,0,1
