time,pitch,roll,yaw,trans_ap,trans_ml,trans_ud,scale
0.001,0,0.062831,0,0.0012566,0,0,1.5063
0.002,0,0.12566,0,0.0025132,0,0,1.5126
0.003,0,0.18848,0,0.0037697,0,0,1.5188
0.004,0,0.2513,0,0.005026,0,0,1.5251
0.005,0,0.31411,0,0.0062822,0,0,1.5314
0.006,0,0.3769,0,0.007538,0,0,1.5377
0.007,0,0.43968,0,0.0087936,0,0,1.544
0.008,0,0.50244,0,0.010049,0,0,1.5502
0.009,0,0.56519,0,0.011304,0,0,1.5565
0.01,0,0.62791,0,0.012558,0,0,1.5628
0.011,0,0.6906,0,0.013812,0,0,1.5691
0.012,0,0.75327,0,0.015065,0,0,1.5753
0.013,0,0.81591,0,0.016318,0,0,1.5816
0.014,0,0.87851,0,0.01757,0,0,1.5879
0.015,0,0.94108,0,0.018822,0,0,1.5941
0.016,0,1.0036,0,0.020072,0,0,1.6004
0.017,0,1.0661,0,0.021322,0,0,1.6066
0.018,0,1.1286,0,0.022571,0,0,1.6129
0.019,0,1.191,0,0.023819,0,0,1.6191
0.02,0,1.2533,0,0.025067,0,0,1.6253
0.021,0,1.3156,0,0.026313,0,0,1.6316
0.022,0,1.3779,0,0.027558,0,0,1.6378
0.023,0,1.4401,0,0.028802,0,0,1.644
0.024,0,1.5023,0,0.030045,0,0,1.6502
0.025,0,1.5643,0,0.031287,0,0,1.6564
0.026,0,1.6264,0,0.032527,0,0,1.6626
0.027,0,1.6883,0,0.033767,0,0,1.6688
0.028,0,1.7502,0,0.035005,0,0,1.675
0.029,0,1.8121,0,0.036241,0,0,1.6812
0.03,0,1.8738,0,0.037476,0,0,1.6874
0.031,0,1.9355,0,0.03871,0,0,1.6935
0.032,0,1.9971,0,0.039942,0,0,1.6997
0.033,0,2.0586,0,0.041173,0,0,1.7059
0.034,0,2.1201,0,0.042401,0,0,1.712
0.035,0,2.1814,0,0.043629,0,0,1.7181
0.036,0,2.2427,0,0.044854,0,0,1.7243
0.037,0,2.3039,0,0.046078,0,0,1.7304
0.038,0,2.365,0,0.0473,0,0,1.7365
0.039,0,2.426,0,0.04852,0,0,1.7426
0.04,0,2.4869,0,0.049738,0,0,1.7487
0.041,0,2.5477,0,0.050954,0,0,1.7548
0.042,0,2.6084,0,0.052168,0,0,1.7608
0.043,0,2.669,0,0.05338,0,0,1.7669
0.044,0,2.7295,0,0.05459,0,0,1.773
0.045,0,2.7899,0,0.055798,0,0,1.779
0.046,0,2.8502,0,0.057004,0,0,1.785
0.047,0,2.9104,0,0.058207,0,0,1.791
0.048,0,2.9704,0,0.059408,0,0,1.797
0.049,0,3.0304,0,0.060607,0,0,1.803
0.05,0,3.0902,0,0.061803,0,0,1.809
0.051,0,3.1499,0,0.062997,0,0,1.815
0.052,0,3.2094,0,0.064189,0,0,1.8209
0.053,0,3.2689,0,0.065378,0,0,1.8269
0.054,0,3.3282,0,0.066564,0,0,1.8328
0.055,0,3.3874,0,0.067748,0,0,1.8387
0.056,0,3.4464,0,0.068929,0,0,1.8446
0.057,0,3.5053,0,0.070107,0,0,1.8505
0.058,0,3.5641,0,0.071282,0,0,1.8564
0.059,0,3.6228,0,0.072455,0,0,1.8623
0.06,0,3.6812,0,0.073625,0,0,1.8681
0.061,0,3.7396,0,0.074792,0,0,1.874
0.062,0,3.7978,0,0.075956,0,0,1.8798
0.063,0,3.8558,0,0.077117,0,0,1.8856
0.064,0,3.9137,0,0.078275,0,0,1.8914
0.065,0,3.9715,0,0.07943,0,0,1.8971
0.066,0,4.0291,0,0.080581,0,0,1.9029
0.067,0,4.0865,0,0.08173,0,0,1.9086
0.068,0,4.1438,0,0.082875,0,0,1.9144
0.069,0,4.2009,0,0.084017,0,0,1.9201
0.07,0,4.2578,0,0.085156,0,0,1.9258
0.071,0,4.3146,0,0.086291,0,0,1.9315
0.072,0,4.3712,0,0.087423,0,0,1.9371
0.073,0,4.4276,0,0.088552,0,0,1.9428
0.074,0,4.4838,0,0.089677,0,0,1.9484
0.075,0,4.5399,0,0.090798,0,0,1.954
0.076,0,4.5958,0,0.091916,0,0,1.9596
0.077,0,4.6515,0,0.09303,0,0,1.9652
0.078,0,4.707,0,0.094141,0,0,1.9707
0.079,0,4.7624,0,0.095248,0,0,1.9762
0.08,0,4.8175,0,0.096351,0,0,1.9818
0.081,0,4.8725,0,0.09745,0,0,1.9873
0.082,0,4.9273,0,0.098545,0,0,1.9927
0.083,0,4.9819,0,0.099637,0,0,1.9982
0.084,0,5.0362,0,0.10072,0,0,2.0036
0.085,0,5.0904,0,0.10181,0,0,2.009
0.086,0,5.1444,0,0.10289,0,0,2.0144
0.087,0,5.1982,0,0.10396,0,0,2.0198
0.088,0,5.2517,0,0.10503,0,0,2.0252
0.089,0,5.3051,0,0.1061,0,0,2.0305
0.09,0,5.3583,0,0.10717,0,0,2.0358
0.091,0,5.4112,0,0.10822,0,0,2.0411
0.092,0,5.4639,0,0.10928,0,0,2.0464
0.093,0,5.5165,0,0.11033,0,0,2.0516
0.094,0,5.5688,0,0.11138,0,0,2.0569
0.095,0,5.6208,0,0.11242,0,0,2.0621
0.096,0,5.6727,0,0.11345,0,0,2.0673
0.097,0,5.7243,0,0.11449,0,0,2.0724
0.098,0,5.7757,0,0.11551,0,0,2.0776
0.099,0,5.8269,0,0.11654,0,0,2.0827
0.1,0,5.8779,0,0.11756,0,0,2.0878
0.101,0,5.9286,0,0.11857,0,0,2.0929
0.102,0,5.979,0,0.11958,0,0,2.0979
0.103,0,6.0293,0,0.12059,0,0,2.1029
0.104,0,6.0793,0,0.12159,0,0,2.1079
0.105,0,6.1291,0,0.12258,0,0,2.1129
0.106,0,6.1786,0,0.12357,0,0,2.1179
0.107,0,6.2279,0,0.12456,0,0,2.1228
0.108,0,6.2769,0,0.12554,0,0,2.1277
0.109,0,6.3257,0,0.12651,0,0,2.1326
0.11,0,6.3742,0,0.12748,0,0,2.1374
0.111,0,6.4225,0,0.12845,0,0,2.1423
0.112,0,6.4706,0,0.12941,0,0,2.1471
0.113,0,6.5183,0,0.13037,0,0,2.1518
0.114,0,6.5659,0,0.13132,0,0,2.1566
0.115,0,6.6131,0,0.13226,0,0,2.1613
0.116,0,6.6601,0,0.1332,0,0,2.166
0.117,0,6.7069,0,0.13414,0,0,2.1707
0.118,0,6.7533,0,0.13507,0,0,2.1753
0.119,0,6.7995,0,0.13599,0,0,2.18
0.12,0,6.8455,0,0.13691,0,0,2.1845
0.121,0,6.8911,0,0.13782,0,0,2.1891
0.122,0,6.9365,0,0.13873,0,0,2.1937
0.123,0,6.9817,0,0.13963,0,0,2.1982
0.124,0,7.0265,0,0.14053,0,0,2.2026
0.125,0,7.0711,0,0.14142,0,0,2.2071
0.126,0,7.1154,0,0.14231,0,0,2.2115
0.127,0,7.1594,0,0.14319,0,0,2.2159
0.128,0,7.2031,0,0.14406,0,0,2.2203
0.129,0,7.2465,0,0.14493,0,0,2.2247
0.13,0,7.2897,0,0.14579,0,0,2.229
0.131,0,7.3326,0,0.14665,0,0,2.2333
0.132,0,7.3751,0,0.1475,0,0,2.2375
0.133,0,7.4174,0,0.14835,0,0,2.2417
0.134,0,7.4594,0,0.14919,0,0,2.2459
0.135,0,7.5011,0,0.15002,0,0,2.2501
0.136,0,7.5425,0,0.15085,0,0,2.2543
0.137,0,7.5836,0,0.15167,0,0,2.2584
0.138,0,7.6244,0,0.15249,0,0,2.2624
0.139,0,7.6649,0,0.1533,0,0,2.2665
0.14,0,7.7051,0,0.1541,0,0,2.2705
0.141,0,7.745,0,0.1549,0,0,2.2745
0.142,0,7.7846,0,0.15569,0,0,2.2785
0.143,0,7.8239,0,0.15648,0,0,2.2824
0.144,0,7.8629,0,0.15726,0,0,2.2863
0.145,0,7.9016,0,0.15803,0,0,2.2902
0.146,0,7.9399,0,0.1588,0,0,2.294
0.147,0,7.9779,0,0.15956,0,0,2.2978
0.148,0,8.0157,0,0.16031,0,0,2.3016
0.149,0,8.0531,0,0.16106,0,0,2.3053
0.15,0,8.0902,0,0.1618,0,0,2.309
0.151,0,8.1269,0,0.16254,0,0,2.3127
0.152,0,8.1634,0,0.16327,0,0,2.3163
0.153,0,8.1995,0,0.16399,0,0,2.32
0.154,0,8.2353,0,0.16471,0,0,2.3235
0.155,0,8.2708,0,0.16542,0,0,2.3271
0.156,0,8.306,0,0.16612,0,0,2.3306
0.157,0,8.3408,0,0.16682,0,0,2.3341
0.158,0,8.3753,0,0.16751,0,0,2.3375
0.159,0,8.4094,0,0.16819,0,0,2.3409
0.16,0,8.4433,0,0.16887,0,0,2.3443
0.161,0,8.4768,0,0.16954,0,0,2.3477
0.162,0,8.5099,0,0.1702,0,0,2.351
0.163,0,8.5428,0,0.17086,0,0,2.3543
0.164,0,8.5753,0,0.17151,0,0,2.3575
0.165,0,8.6074,0,0.17215,0,0,2.3607
0.166,0,8.6392,0,0.17278,0,0,2.3639
0.167,0,8.6707,0,0.17341,0,0,2.3671
0.168,0,8.7018,0,0.17404,0,0,2.3702
0.169,0,8.7326,0,0.17465,0,0,2.3733
0.17,0,8.7631,0,0.17526,0,0,2.3763
0.171,0,8.7932,0,0.17586,0,0,2.3793
0.172,0,8.8229,0,0.17646,0,0,2.3823
0.173,0,8.8523,0,0.17705,0,0,2.3852
0.174,0,8.8814,0,0.17763,0,0,2.3881
0.175,0,8.9101,0,0.1782,0,0,2.391
0.176,0,8.9384,0,0.17877,0,0,2.3938
0.177,0,8.9664,0,0.17933,0,0,2.3966
0.178,0,8.9941,0,0.17988,0,0,2.3994
0.179,0,9.0213,0,0.18043,0,0,2.4021
0.18,0,9.0483,0,0.18097,0,0,2.4048
0.181,0,9.0748,0,0.1815,0,0,2.4075
0.182,0,9.1011,0,0.18202,0,0,2.4101
0.183,0,9.1269,0,0.18254,0,0,2.4127
0.184,0,9.1524,0,0.18305,0,0,2.4152
0.185,0,9.1775,0,0.18355,0,0,2.4178
0.186,0,9.2023,0,0.18405,0,0,2.4202
0.187,0,9.2267,0,0.18453,0,0,2.4227
0.188,0,9.2508,0,0.18502,0,0,2.4251
0.189,0,9.2745,0,0.18549,0,0,2.4274
0.19,0,9.2978,0,0.18596,0,0,2.4298
0.191,0,9.3207,0,0.18641,0,0,2.4321
0.192,0,9.3433,0,0.18687,0,0,2.4343
0.193,0,9.3655,0,0.18731,0,0,2.4365
0.194,0,9.3873,0,0.18775,0,0,2.4387
0.195,0,9.4088,0,0.18818,0,0,2.4409
0.196,0,9.4299,0,0.1886,0,0,2.443
0.197,0,9.4506,0,0.18901,0,0,2.4451
0.198,0,9.471,0,0.18942,0,0,2.4471
0.199,0,9.491,0,0.18982,0,0,2.4491
0.2,0,9.5106,0,0.19021,0,0,2.4511
0.201,0,9.5298,0,0.1906,0,0,2.453
0.202,0,9.5486,0,0.19097,0,0,2.4549
0.203,0,9.5671,0,0.19134,0,0,2.4567
0.204,0,9.5852,0,0.1917,0,0,2.4585
0.205,0,9.6029,0,0.19206,0,0,2.4603
0.206,0,9.6203,0,0.19241,0,0,2.462
0.207,0,9.6372,0,0.19274,0,0,2.4637
0.208,0,9.6538,0,0.19308,0,0,2.4654
0.209,0,9.67,0,0.1934,0,0,2.467
0.21,0,9.6858,0,0.19372,0,0,2.4686
0.211,0,9.7013,0,0.19403,0,0,2.4701
0.212,0,9.7163,0,0.19433,0,0,2.4716
0.213,0,9.731,0,0.19462,0,0,2.4731
0.214,0,9.7453,0,0.19491,0,0,2.4745
0.215,0,9.7592,0,0.19518,0,0,2.4759
0.216,0,9.7727,0,0.19545,0,0,2.4773
0.217,0,9.7858,0,0.19572,0,0,2.4786
0.218,0,9.7986,0,0.19597,0,0,2.4799
0.219,0,9.8109,0,0.19622,0,0,2.4811
0.22,0,9.8229,0,0.19646,0,0,2.4823
0.221,0,9.8345,0,0.19669,0,0,2.4834
0.222,0,9.8456,0,0.19691,0,0,2.4846
0.223,0,9.8564,0,0.19713,0,0,2.4856
0.224,0,9.8669,0,0.19734,0,0,2.4867
0.225,0,9.8769,0,0.19754,0,0,2.4877
0.226,0,9.8865,0,0.19773,0,0,2.4887
0.227,0,9.8958,0,0.19792,0,0,2.4896
0.228,0,9.9046,0,0.19809,0,0,2.4905
0.229,0,9.9131,0,0.19826,0,0,2.4913
0.23,0,9.9211,0,0.19842,0,0,2.4921
0.231,0,9.9288,0,0.19858,0,0,2.4929
0.232,0,9.9361,0,0.19872,0,0,2.4936
0.233,0,9.943,0,0.19886,0,0,2.4943
0.234,0,9.9495,0,0.19899,0,0,2.495
0.235,0,9.9556,0,0.19911,0,0,2.4956
0.236,0,9.9613,0,0.19923,0,0,2.4961
0.237,0,9.9667,0,0.19933,0,0,2.4967
0.238,0,9.9716,0,0.19943,0,0,2.4972
0.239,0,9.9761,0,0.19952,0,0,2.4976
0.24,0,9.9803,0,0.19961,0,0,2.498
0.241,0,9.984,0,0.19968,0,0,2.4984
0.242,0,9.9874,0,0.19975,0,0,2.4987
0.243,0,9.9903,0,0.19981,0,0,2.499
0.244,0,9.9929,0,0.19986,0,0,2.4993
0.245,0,9.9951,0,0.1999,0,0,2.4995
0.246,0,9.9968,0,0.19994,0,0,2.4997
0.247,0,9.9982,0,0.19996,0,0,2.4998
0.248,0,9.9992,0,0.19998,0,0,2.4999
0.249,0,9.9998,0,0.2,0,0,2.5
0.25,0,10,0,0.2,0,0,2.5
0.251,0,9.9998,0,0.2,0,0,2.5
0.252,0,9.9992,0,0.19998,0,0,2.4999
0.253,0,9.9982,0,0.19996,0,0,2.4998
0.254,0,9.9968,0,0.19994,0,0,2.4997
0.255,0,9.9951,0,0.1999,0,0,2.4995
0.256,0,9.9929,0,0.19986,0,0,2.4993
0.257,0,9.9903,0,0.19981,0,0,2.499
0.258,0,9.9874,0,0.19975,0,0,2.4987
0.259,0,9.984,0,0.19968,0,0,2.4984
0.26,0,9.9803,0,0.19961,0,0,2.498
0.261,0,9.9761,0,0.19952,0,0,2.4976
0.262,0,9.9716,0,0.19943,0,0,2.4972
0.263,0,9.9667,0,0.19933,0,0,2.4967
0.264,0,9.9613,0,0.19923,0,0,2.4961
0.265,0,9.9556,0,0.19911,0,0,2.4956
0.266,0,9.9495,0,0.19899,0,0,2.495
0.267,0,9.943,0,0.19886,0,0,2.4943
0.268,0,9.9361,0,0.19872,0,0,2.4936
0.269,0,9.9288,0,0.19858,0,0,2.4929
0.27,0,9.9211,0,0.19842,0,0,2.4921
0.271,0,9.9131,0,0.19826,0,0,2.4913
0.272,0,9.9046,0,0.19809,0,0,2.4905
0.273,0,9.8958,0,0.19792,0,0,2.4896
0.274,0,9.8865,0,0.19773,0,0,2.4887
0.275,0,9.8769,0,0.19754,0,0,2.4877
0.276,0,9.8669,0,0.19734,0,0,2.4867
0.277,0,9.8564,0,0.19713,0,0,2.4856
0.278,0,9.8456,0,0.19691,0,0,2.4846
0.279,0,9.8345,0,0.19669,0,0,2.4834
0.28,0,9.8229,0,0.19646,0,0,2.4823
0.281,0,9.8109,0,0.19622,0,0,2.4811
0.282,0,9.7986,0,0.19597,0,0,2.4799
0.283,0,9.7858,0,0.19572,0,0,2.4786
0.284,0,9.7727,0,0.19545,0,0,2.4773
0.285,0,9.7592,0,0.19518,0,0,2.4759
0.286,0,9.7453,0,0.19491,0,0,2.4745
0.287,0,9.731,0,0.19462,0,0,2.4731
0.288,0,9.7163,0,0.19433,0,0,2.4716
0.289,0,9.7013,0,0.19403,0,0,2.4701
0.29,0,9.6858,0,0.19372,0,0,2.4686
0.291,0,9.67,0,0.1934,0,0,2.467
0.292,0,9.6538,0,0.19308,0,0,2.4654
0.293,0,9.6372,0,0.19274,0,0,2.4637
0.294,0,9.6203,0,0.19241,0,0,2.462
0.295,0,9.6029,0,0.19206,0,0,2.4603
0.296,0,9.5852,0,0.1917,0,0,2.4585
0.297,0,9.5671,0,0.19134,0,0,2.4567
0.298,0,9.5486,0,0.19097,0,0,2.4549
0.299,0,9.5298,0,0.1906,0,0,2.453
0.3,0,9.5106,0,0.19021,0,0,2.4511
0.301,0,9.491,0,0.18982,0,0,2.4491
0.302,0,9.471,0,0.18942,0,0,2.4471
0.303,0,9.4506,0,0.18901,0,0,2.4451
0.304,0,9.4299,0,0.1886,0,0,2.443
0.305,0,9.4088,0,0.18818,0,0,2.4409
0.306,0,9.3873,0,0.18775,0,0,2.4387
0.307,0,9.3655,0,0.18731,0,0,2.4365
0.308,0,9.3433,0,0.18687,0,0,2.4343
0.309,0,9.3207,0,0.18641,0,0,2.4321
0.31,0,9.2978,0,0.18596,0,0,2.4298
0.311,0,9.2745,0,0.18549,0,0,2.4274
0.312,0,9.2508,0,0.18502,0,0,2.4251
0.313,0,9.2267,0,0.18453,0,0,2.4227
0.314,0,9.2023,0,0.18405,0,0,2.4202
0.315,0,9.1775,0,0.18355,0,0,2.4178
0.316,0,9.1524,0,0.18305,0,0,2.4152
0.317,0,9.1269,0,0.18254,0,0,2.4127
0.318,0,9.1011,0,0.18202,0,0,2.4101
0.319,0,9.0748,0,0.1815,0,0,2.4075
0.32,0,9.0483,0,0.18097,0,0,2.4048
0.321,0,9.0213,0,0.18043,0,0,2.4021
0.322,0,8.9941,0,0.17988,0,0,2.3994
0.323,0,8.9664,0,0.17933,0,0,2.3966
0.324,0,8.9384,0,0.17877,0,0,2.3938
0.325,0,8.9101,0,0.1782,0,0,2.391
0.326,0,8.8814,0,0.17763,0,0,2.3881
0.327,0,8.8523,0,0.17705,0,0,2.3852
0.328,0,8.8229,0,0.17646,0,0,2.3823
0.329,0,8.7932,0,0.17586,0,0,2.3793
0.33,0,8.7631,0,0.17526,0,0,2.3763
0.331,0,8.7326,0,0.17465,0,0,2.3733
0.332,0,8.7018,0,0.17404,0,0,2.3702
0.333,0,8.6707,0,0.17341,0,0,2.3671
0.334,0,8.6392,0,0.17278,0,0,2.3639
0.335,0,8.6074,0,0.17215,0,0,2.3607
0.336,0,8.5753,0,0.17151,0,0,2.3575
0.337,0,8.5428,0,0.17086,0,0,2.3543
0.338,0,8.5099,0,0.1702,0,0,2.351
0.339,0,8.4768,0,0.16954,0,0,2.3477
0.34,0,8.4433,0,0.16887,0,0,2.3443
0.341,0,8.4094,0,0.16819,0,0,2.3409
0.342,0,8.3753,0,0.16751,0,0,2.3375
0.343,0,8.3408,0,0.16682,0,0,2.3341
0.344,0,8.306,0,0.16612,0,0,2.3306
0.345,0,8.2708,0,0.16542,0,0,2.3271
0.346,0,8.2353,0,0.16471,0,0,2.3235
0.347,0,8.1995,0,0.16399,0,0,2.32
0.348,0,8.1634,0,0.16327,0,0,2.3163
0.349,0,8.1269,0,0.16254,0,0,2.3127
0.35,0,8.0902,0,0.1618,0,0,2.309
0.351,0,8.0531,0,0.16106,0,0,2.3053
0.352,0,8.0157,0,0.16031,0,0,2.3016
0.353,0,7.9779,0,0.15956,0,0,2.2978
0.354,0,7.9399,0,0.1588,0,0,2.294
0.355,0,7.9016,0,0.15803,0,0,2.2902
0.356,0,7.8629,0,0.15726,0,0,2.2863
0.357,0,7.8239,0,0.15648,0,0,2.2824
0.358,0,7.7846,0,0.15569,0,0,2.2785
0.359,0,7.745,0,0.1549,0,0,2.2745
0.36,0,7.7051,0,0.1541,0,0,2.2705
0.361,0,7.6649,0,0.1533,0,0,2.2665
0.362,0,7.6244,0,0.15249,0,0,2.2624
0.363,0,7.5836,0,0.15167,0,0,2.2584
0.364,0,7.5425,0,0.15085,0,0,2.2543
0.365,0,7.5011,0,0.15002,0,0,2.2501
0.366,0,7.4594,0,0.14919,0,0,2.2459
0.367,0,7.4174,0,0.14835,0,0,2.2417
0.368,0,7.3751,0,0.1475,0,0,2.2375
0.369,0,7.3326,0,0.14665,0,0,2.2333
0.37,0,7.2897,0,0.14579,0,0,2.229
0.371,0,7.2465,0,0.14493,0,0,2.2247
0.372,0,7.2031,0,0.14406,0,0,2.2203
0.373,0,7.1594,0,0.14319,0,0,2.2159
0.374,0,7.1154,0,0.14231,0,0,2.2115
0.375,0,7.0711,0,0.14142,0,0,2.2071
0.376,0,7.0265,0,0.14053,0,0,2.2026
0.377,0,6.9817,0,0.13963,0,0,2.1982
0.378,0,6.9365,0,0.13873,0,0,2.1937
0.379,0,6.8911,0,0.13782,0,0,2.1891
0.38,0,6.8455,0,0.13691,0,0,2.1845
0.381,0,6.7995,0,0.13599,0,0,2.18
0.382,0,6.7533,0,0.13507,0,0,2.1753
0.383,0,6.7069,0,0.13414,0,0,2.1707
0.384,0,6.6601,0,0.1332,0,0,2.166
0.385,0,6.6131,0,0.13226,0,0,2.1613
0.386,0,6.5659,0,0.13132,0,0,2.1566
0.387,0,6.5183,0,0.13037,0,0,2.1518
0.388,0,6.4706,0,0.12941,0,0,2.1471
0.389,0,6.4225,0,0.12845,0,0,2.1423
0.39,0,6.3742,0,0.12748,0,0,2.1374
0.391,0,6.3257,0,0.12651,0,0,2.1326
0.392,0,6.2769,0,0.12554,0,0,2.1277
0.393,0,6.2279,0,0.12456,0,0,2.1228
0.394,0,6.1786,0,0.12357,0,0,2.1179
0.395,0,6.1291,0,0.12258,0,0,2.1129
0.396,0,6.0793,0,0.12159,0,0,2.1079
