time,pitch,roll,yaw,trans_ap,trans_ml,trans_ud,scale
0.116,6.6601,0,0,0.066601,0,0,1
0.117,6.7069,0,0,0.067069,0,0,1
0.118,6.7533,0,0,0.067533,0,0,1
0.119,6.7995,0,0,0.067995,0,0,1
0.12,6.8455,0,0,0.068455,0,0,1
0.121,6.8911,0,0,0.068911,0,0,1
0.122,6.9365,0,0,0.069365,0,0,1
0.123,6.9817,0,0,0.069817,0,0,1
0.124,7.0265,0,0,0.070265,0,0,1
0.125,7.0711,0,0,0.070711,0,0,1
0.126,7.1154,0,0,0.071154,0,0,1
0.127,7.1594,0,0,0.071594,0,0,1
0.128,7.2031,0,0,0.072031,0,0,1
0.129,7.2465,0,0,0.072465,0,0,1
0.13,7.2897,0,0,0.072897,0,0,1
0.131,7.3326,0,0,0.073326,0,0,1
0.132,7.3751,0,0,0.073751,0,0,1
0.133,7.4174,0,0,0.074174,0,0,1
0.134,7.4594,0,0,0.074594,0,0,1
0.135,7.5011,0,0,0.075011,0,0,1
0.136,7.5425,0,0,0.075425,0,0,1
0.137,7.5836,0,0,0.075836,0,0,1
0.138,7.6244,0,0,0.076244,0,0,1
0.139,7.6649,0,0,0.076649,0,0,1
0.14,7.7051,0,0,0.077051,0,0,1
0.141,7.745,0,0,0.07745,0,0,1
0.142,7.7846,0,0,0.077846,0,0,1
0.143,7.8239,0,0,0.078239,0,0,1
0.144,7.8629,0,0,0.078629,0,0,1
0.145,7.9016,0,0,0.079016,0,0,1
0.146,7.9399,0,0,0.079399,0,0,1
0.147,7.9779,0,0,0.079779,0,0,1
0.148,8.0157,0,0,0.080157,0,0,1
0.149,8.0531,0,0,0.080531,0,0,1
0.15,8.0902,0,0,0.080902,0,0,1
0.151,8.1269,0,0,0.081269,0,0,1
0.152,8.1634,0,0,0.081634,0,0,1
0.153,8.1995,0,0,0.081995,0,0,1
0.154,8.2353,0,0,0.082353,0,0,1
0.155,8.2708,0,0,0.082708,0,0,1
0.156,8.306,0,0,0.08306,0,0,1
0.157,8.3408,0,0,0.083408,0,0,1
0.158,8.3753,0,0,0.083753,0,0,1
0.159,8.4094,0,0,0.084094,0,0,1
0.16,8.4433,0,0,0.084433,0,0,1
0.161,8.4768,0,0,0.084768,0,0,1
0.162,8.5099,0,0,0.085099,0,0,1
0.163,8.5428,0,0,0.085428,0,0,1
0.164,8.5753,0,0,0.085753,0,0,1
0.165,8.6074,0,0,0.086074,0,0,1
0.166,8.6392,0,0,0.086392,0,0,1
0.167,8.6707,0,0,0.086707,0,0,1
0.168,8.7018,0,0,0.087018,0,0,1
0.169,8.7326,0,0,0.087326,0,0,1
0.17,8.7631,0,0,0.087631,0,0,1
0.171,8.7932,0,0,0.087932,0,0,1
0.172,8.8229,0,0,0.088229,0,0,1
0.173,8.8523,0,0,0.088523,0,0,1
0.174,8.8814,0,0,0.088814,0,0,1
0.175,8.9101,0,0,0.089101,0,0,1
0.176,8.9384,0,0,0.089384,0,0,1
0.177,8.9664,0,0,0.089664,0,0,1
0.178,8.9941,0,0,0.089941,0,0,1
0.179,9.0213,0,0,0.090213,0,0,1
0.18,9.0483,0,0,0.090483,0,0,1
0.181,9.0748,0,0,0.090748,0,0,1
0.182,9.1011,0,0,0.091011,0,0,1
0.183,9.1269,0,0,0.091269,0,0,1
0.184,9.1524,0,0,0.091524,0,0,1
0.185,9.1775,0,0,0.091775,0,0,1
0.186,9.2023,0,0,0.092023,0,0,1
0.187,9.2267,0,0,0.092267,0,0,1
0.188,9.2508,0,0,0.092508,0,0,1
0.189,9.2745,0,0,0.092745,0,0,1
0.19,9.2978,0,0,0.092978,0,0,1
0.191,9.3207,0,0,0.093207,0,0,1
0.192,9.3433,0,0,0.093433,0,0,1
0.193,9.3655,0,0,0.093655,0,0,1
0.194,9.3873,0,0,0.093873,0,0,1
0.195,9.4088,0,0,0.094088,0,0,1
0.196,9.4299,0,0,0.094299,0,0,1
0.197,9.4506,0,0,0.094506,0,0,1
0.198,9.471,0,0,0.09471,0,0,1
0.199,9.491,0,0,0.09491,0,0,1
0.2,9.5106,0,0,0.095106,0,0,1
0.201,9.5298,0,0,0.095298,0,0,1
0.202,9.5486,0,0,0.095486,0,0,1
0.203,9.5671,0,0,0.095671,0,0,1
0.204,9.5852,0,0,0.095852,0,0,1
0.205,9.6029,0,0,0.096029,0,0,1
0.206,9.6203,0,0,0.096203,0,0,1
0.207,9.6372,0,0,0.096372,0,0,1
0.208,9.6538,0,0,0.096538,0,0,1
0.209,9.67,0,0,0.0967,0,0,1
0.21,9.6858,0,0,0.096858,0,0,1
0.211,9.7013,0,0,0.097013,0,0,1
0.212,9.7163,0,0,0.097163,0,0,1
0.213,9.731,0,0,0.09731,0,0,1
0.214,9.7453,0,0,0.097453,0,0,1
0.215,9.7592,0,0,0.097592,0,0,1
0.216,9.7727,0,0,0.097727,0,0,1
0.217,9.7858,0,0,0.097858,0,0,1
0.218,9.7986,0,0,0.097986,0,0,1
0.219,9.8109,0,0,0.098109,0,0,1
0.22,9.8229,0,0,0.098229,0,0,1
0.221,9.8345,0,0,0.098345,0,0,1
0.222,9.8456,0,0,0.098456,0,0,1
0.223,9.8564,0,0,0.098564,0,0,1
0.224,9.8669,0,0,0.098669,0,0,1
0.225,9.8769,0,0,0.098769,0,0,1
0.226,9.8865,0,0,0.098865,0,0,1
0.227,9.8958,0,0,0.098958,0,0,1
0.228,9.9046,0,0,0.099046,0,0,1
0.229,9.9131,0,0,0.099131,0,0,1
0.23,9.9211,0,0,0.099211,0,0,1
0.231,9.9288,0,0,0.099288,0,0,1
0.232,9.9361,0,0,0.099361,0,0,1
0.233,9.943,0,0,0.09943,0,0,1
0.234,9.9495,0,0,0.099495,0,0,1
0.235,9.9556,0,0,0.099556,0,0,1
0.236,9.9613,0,0,0.099613,0,0,1
0.237,9.9667,0,0,0.099667,0,0,1
0.238,9.9716,0,0,0.099716,0,0,1
0.239,9.9761,0,0,0.099761,0,0,1
0.24,9.9803,0,0,0.099803,0,0,1
0.241,9.984,0,0,0.09984,0,0,1
0.242,9.9874,0,0,0.099874,0,0,1
0.243,9.9903,0,0,0.099903,0,0,1
0.244,9.9929,0,0,0.099929,0,0,1
0.245,9.9951,0,0,0.099951,0,0,1
0.246,9.9968,0,0,0.099968,0,0,1
0.247,9.9982,0,0,0.099982,0,0,1
0.248,9.9992,0,0,0.099992,0,0,1
0.249,9.9998,0,0,0.099998,0,0,1
0.25,10,0,0,0.1,0,0,1
0.251,9.9998,0,0,0.099998,0,0,1
0.252,9.9992,0,0,0.099992,0,0,1
0.253,9.9982,0,0,0.099982,0,0,1
0.254,9.9968,0,0,0.099968,0,0,1
0.255,9.9951,0,0,0.099951,0,0,1
0.256,9.9929,0,0,0.099929,0,0,1
0.257,9.9903,0,0,0.099903,0,0,1
0.258,9.9874,0,0,0.099874,0,0,1
0.259,9.984,0,0,0.09984,0,0,1
0.26,9.9803,0,0,0.099803,0,0,1
0.261,9.9761,0,0,0.099761,0,0,1
0.262,9.9716,0,0,0.099716,0,0,1
0.263,9.9667,0,0,0.099667,0,0,1
0.264,9.9613,0,0,0.099613,0,0,1
0.265,9.9556,0,0,0.099556,0,0,1
0.266,9.9495,0,0,0.099495,0,0,1
0.267,9.943,0,0,0.09943,0,0,1
0.268,9.9361,0,0,0.099361,0,0,1
0.269,9.9288,0,0,0.099288,0,0,1
0.27,9.9211,0,0,0.099211,0,0,1
0.271,9.9131,0,0,0.099131,0,0,1
0.272,9.9046,0,0,0.099046,0,0,1
0.273,9.8958,0,0,0.098958,0,0,1
0.274,9.8865,0,0,0.098865,0,0,1
0.275,9.8769,0,0,0.098769,0,0,1
0.276,9.8669,0,0,0.098669,0,0,1
0.277,9.8564,0,0,0.098564,0,0,1
0.278,9.8456,0,0,0.098456,0,0,1
0.279,9.8345,0,0,0.098345,0,0,1
0.28,9.8229,0,0,0.098229,0,0,1
0.281,9.8109,0,0,0.098109,0,0,1
0.282,9.7986,0,0,0.097986,0,0,1
0.283,9.7858,0,0,0.097858,0,0,1
0.284,9.7727,0,0,0.097727,0,0,1
0.285,9.7592,0,0,0.097592,0,0,1
0.286,9.7453,0,0,0.097453,0,0,1
0.287,9.731,0,0,0.09731,0,0,1
0.288,9.7163,0,0,0.097163,0,0,1
0.289,9.7013,0,0,0.097013,0,0,1
0.29,9.6858,0,0,0.096858,0,0,1
0.291,9.67,0,0,0.0967,0,0,1
0.292,9.6538,0,0,0.096538,0,0,1
0.293,9.6372,0,0,0.096372,0,0,1
0.294,9.6203,0,0,0.096203,0,0,1
0.295,9.6029,0,0,0.096029,0,0,1
0.296,9.5852,0,0,0.095852,0,0,1
0.297,9.5671,0,0,0.095671,0,0,1
0.298,9.5486,0,0,0.095486,0,0,1
0.299,9.5298,0,0,0.095298,0,0,1
0.3,9.5106,0,0,0.095106,0,0,1
0.301,9.491,0,0,0.09491,0,0,1
0.302,9.471,0,0,0.09471,0,0,1
0.303,9.4506,0,0,0.094506,0,0,1
0.304,9.4299,0,0,0.094299,0,0,1
0.305,9.4088,0,0,0.094088,0,0,1
0.306,9.3873,0,0,0.093873,0,0,1
0.307,9.3655,0,0,0.093655,0,0,1
0.308,9.3433,0,0,0.093433,0,0,1
0.309,9.3207,0,0,0.093207,0,0,1
0.31,9.2978,0,0,0.092978,0,0,1
0.311,9.2745,0,0,0.092745,0,0,1
0.312,9.2508,0,0,0.092508,0,0,1
0.313,9.2267,0,0,0.092267,0,0,1
0.314,9.2023,0,0,0.092023,0,0,1
0.315,9.1775,0,0,0.091775,0,0,1
0.316,9.1524,0,0,0.091524,0,0,1
0.317,9.1269,0,0,0.091269,0,0,1
0.318,9.1011,0,0,0.091011,0,0,1
0.319,9.0748,0,0,0.090748,0,0,1
0.32,9.0483,0,0,0.090483,0,0,1
0.321,9.0213,0,0,0.090213,0,0,1
0.322,8.9941,0,0,0.089941,0,0,1
0.323,8.9664,0,0,0.089664,0,0,1
0.324,8.9384,0,0,0.089384,0,0,1
0.325,8.9101,0,0,0.089101,0,0,1
0.326,8.8814,0,0,0.088814,0,0,1
0.327,8.8523,0,0,0.088523,0,0,1
0.328,8.8229,0,0,0.088229,0,0,1
0.329,8.7932,0,0,0.087932,0,0,1
0.33,8.7631,0,0,0.087631,0,0,1
0.331,8.7326,0,0,0.087326,0,0,1
0.332,8.7018,0,0,0.087018,0,0,1
0.333,8.6707,0,0,0.086707,0,0,1
0.334,8.6392,0,0,0.086392,0,0,1
0.335,8.6074,0,0,0.086074,0,0,1
0.336,8.5753,0,0,0.085753,0,0,1
0.337,8.5428,0,0,0.085428,0,0,1
0.338,8.5099,0,0,0.085099,0,0,1
0.339,8.4768,0,0,0.084768,0,0,1
0.34,8.4433,0,0,0.084433,0,0,1
0.341,8.4094,0,0,0.084094,0,0,1
0.342,8.3753,0,0,0.083753,0,0,1
0.343,8.3408,0,0,0.083408,0,0,1
0.344,8.306,0,0,0.08306,0,0,1
0.345,8.2708,0,0,0.082708,0,0,1
0.346,8.2353,0,0,0.082353,0,0,1
0.347,8.1995,0,0,0.081995,0,0,1
0.348,8.1634,0,0,0.081634,0,0,1
0.349,8.1269,0,0,0.081269,0,0,1
0.35,8.0902,0,0,0.080902,0,0,1
0.351,8.0531,0,0,0.080531,0,0,1
0.352,8.0157,0,0,0.080157,0,0,1
0.353,7.9779,0,0,0.079779,0,0,1
0.354,7.9399,0,0,0.079399,0,0,1
0.355,7.9016,0,0,0.079016,0,0,1
0.356,7.8629,0,0,0.078629,0,0,1
0.357,7.8239,0,0,0.078239,0,0,1
0.358,7.7846,0,0,0.077846,0,0,1
0.359,7.745,0,0,0.07745,0,0,1
0.36,7.7051,0,0,0.077051,0,0,1
0.361,7.6649,0,0,0.076649,0,0,1
0.362,7.6244,0,0,0.076244,0,0,1
0.363,7.5836,0,0,0.075836,0,0,1
0.364,7.5425,0,0,0.075425,0,0,1
0.365,7.5011,0,0,0.075011,0,0,1
0.366,7.4594,0,0,0.074594,0,0,1
0.367,7.4174,0,0,0.074174,0,0,1
0.368,7.3751,0,0,0.073751,0,0,1
0.369,7.3326,0,0,0.073326,0,0,1
0.37,7.2897,0,0,0.072897,0,0,1
0.371,7.2465,0,0,0.072465,0,0,1
0.372,7.2031,0,0,0.072031,0,0,1
0.373,7.1594,0,0,0.071594,0,0,1
0.374,7.1154,0,0,0.071154,0,0,1
0.375,7.0711,0,0,0.070711,0,0,1
0.376,7.0265,0,0,0.070265,0,0,1
0.377,6.9817,0,0,0.069817,0,0,1
0.378,6.9365,0,0,0.069365,0,0,1
0.379,6.8911,0,0,0.068911,0,0,1
0.38,6.8455,0,0,0.068455,0,0,1
0.381,6.7995,0,0,0.067995,0,0,1
0.382,6.7533,0,0,0.067533,0,0,1
0.383,6.7069,0,0,0.067069,0,0,1
0.384,6.6601,0,0,0.066601,0,0,1
0.385,6.6131,0,0,0.066131,0,0,1
0.386,6.5659,0,0,0.065659,0,0,1
0.387,6.5183,0,0,0.065183,0,0,1
0.388,6.4706,0,0,0.064706,0,0,1
0.389,6.4225,0,0,0.064225,0,0,1
0.39,6.3742,0,0,0.063742,0,0,1
0.391,6.3257,0,0,0.063257,0,0,1
0.392,6.2769,0,0,0.062769,0,0,1
0.393,6.2279,0,0,0.062279,0,0,1
0.394,6.1786,0,0,0.061786,0,0,1
0.395,6.1291,0,0,0.061291,0,0,1
0.396,6.0793,0,0,0.060793,0,0,1
0.397,6.0293,0,0,0.060293,0,0,1
0.398,5.979,0,0,0.05979,0,0,1
0.399,5.9286,0,0,0.059286,0,0,1
0.4,5.8779,0,0,0.058779,0,0,1
0.401,5.8269,0,0,0.058269,0,0,1
0.402,5.7757,0,0,0.057757,0,0,1
0.403,5.7243,0,0,0.057243,0,0,1
0.404,5.6727,0,0,0.056727,0,0,1
0.405,5.6208,0,0,0.056208,0,0,1
0.406,5.5688,0,0,0.055688,0,0,1
0.407,5.5165,0,0,0.055165,0,0,1
0.408,5.4639,0,0,0.054639,0,0,1
0.409,5.4112,0,0,0.054112,0,0,1
0.41,5.3583,0,0,0.053583,0,0,1
0.411,5.3051,0,0,0.053051,0,0,1
0.412,5.2517,0,0,0.052517,0,0,1
0.413,5.1982,0,0,0.051982,0,0,1
0.414,5.1444,0,0,0.051444,0,0,1
0.415,5.0904,0,0,0.050904,0,0,1
0.416,5.0362,0,0,0.050362,0,0,1
0.417,4.9819,0,0,0.049819,0,0,1
0.418,4.9273,0,0,0.049273,0,0,1
0.419,4.8725,0,0,0.048725,0,0,1
0.42,4.8175,0,0,0.048175,0,0,1
0.421,4.7624,0,0,0.047624,0,0,1
0.422,4.707,0,0,0.04707,0,0,1
0.423,4.6515,0,0,0.046515,0,0,1
0.424,4.5958,0,0,0.045958,0,0,1
0.425,4.5399,0,0,0.045399,0,0,1
0.426,4.4838,0,0,0.044838,0,0,1
0.427,4.4276,0,0,0.044276,0,0,1
0.428,4.3712,0,0,0.043712,0,0,1
0.429,4.3146,0,0,0.043146,0,0,1
0.43,4.2578,0,0,0.042578,0,0,1
0.431,4.2009,0,0,0.042009,0,0,1
0.432,4.1438,0,0,0.041438,0,0,1
0.433,4.0865,0,0,0.040865,0,0,1
0.434,4.0291,0,0,0.040291,0,0,1
0.435,3.9715,0,0,0.039715,0,0,1
0.436,3.9137,0,0,0.039137,0,0,1
0.437,3.8558,0,0,0.038558,0,0,1
0.438,3.7978,0,0,0.037978,0,0,1
0.439,3.7396,0,0,0.037396,0,0,1
0.44,3.6812,0,0,0.036812,0,0,1
0.441,3.6228,0,0,0.036228,0,0,1
0.442,3.5641,0,0,0.035641,0,0,1
0.443,3.5053,0,0,0.035053,0,0,1
0.444,3.4464,0,0,0.034464,0,0,1
0.445,3.3874,0,0,0.033874,0,0,1
0.446,3.3282,0,0,0.033282,0,0,1
0.447,3.2689,0,0,0.032689,0,0,1
0.448,3.2094,0,0,0.032094,0,0,1
0.449,3.1499,0,0,0.031499,0,0,1
0.45,3.0902,0,0,0.030902,0,0,1
0.451,3.0304,0,0,0.030304,0,0,1
0.452,2.9704,0,0,0.029704,0,0,1
0.453,2.9104,0,0,0.029104,0,0,1
0.454,2.8502,0,0,0.028502,0,0,1
0.455,2.7899,0,0,0.027899,0,0,1
0.456,2.7295,0,0,0.027295,0,0,1
0.457,2.669,0,0,0.02669,0,0,1
